Date,Value,Type
2/1/2023,16,NO2
2/2/2023,17,NO2
2/3/2023,8,NO2
2/4/2023,24,NO2
2/5/2023,30,NO2
2/6/2023,41,NO2
2/7/2023,42,NO2
2/8/2023,29,NO2
2/9/2023,23,NO2
2/10/2023,56,NO2
2/11/2023,24,NO2
2/12/2023,8,NO2
2/13/2023,41,NO2
2/14/2023,28,NO2
2/15/2023,31,NO2
2/16/2023,14,NO2
2/17/2023,5,NO2
2/18/2023,26,NO2
2/19/2023,30,NO2
2/20/2023,29,NO2
2/21/2023,19,NO2
2/22/2023,12,NO2
2/23/2023,14,NO2
2/24/2023,17,NO2
2/25/2023,11,NO2
2/26/2023,14,NO2
2/27/2023,11,NO2
2/28/2023,46,NO2
3/1/2023,31,NO2
3/2/2023,16,NO2
3/3/2023,9,NO2
3/4/2023,20,NO2
3/5/2023,33,NO2
3/6/2023,40,NO2
3/7/2023,28,NO2
3/8/2023,35,NO2
3/9/2023,30,NO2
3/10/2023,23,NO2
3/11/2023,25,NO2
3/12/2023,19,NO2
3/13/2023,10,NO2
3/14/2023,9,NO2
3/15/2023,42,NO2
3/16/2023,30,NO2
3/17/2023,12,NO2
3/18/2023,5,NO2
3/19/2023,6,NO2
3/20/2023,40,NO2
3/21/2023,37,NO2
3/22/2023,34,NO2
3/23/2023,36,NO2
3/24/2023,33,NO2
3/25/2023,27,NO2
3/26/2023,25,NO2
3/27/2023,40,NO2
3/28/2023,25,NO2
3/29/2023,42,NO2
3/30/2023,44,NO2
3/31/2023,39,NO2
4/1/2023,8,NO2
4/2/2023,39,NO2
4/3/2023,24,NO2
4/4/2023,8,NO2
4/5/2023,20,NO2
4/6/2023,18,NO2
4/7/2023,10,NO2
4/8/2023,3,NO2
4/9/2023,10,NO2
4/10/2023,33,NO2
4/11/2023,38,NO2
4/12/2023,34,NO2
4/13/2023,25,NO2
4/14/2023,15,NO2
4/15/2023,13,NO2
4/16/2023,14,NO2
4/17/2023,34,NO2
4/18/2023,39,NO2
4/19/2023,40,NO2
4/20/2023,33,NO2
4/21/2023,27,NO2
4/22/2023,27,NO2
4/23/2023,22,NO2
4/24/2023,15,NO2
4/25/2023,27,NO2
4/26/2023,6,NO2
4/27/2023,9,NO2
4/28/2023,25,NO2
4/29/2023,20,NO2
4/30/2023,8,NO2
5/1/2023,21,NO2
5/2/2023,25,NO2
5/3/2023,34,NO2
5/4/2023,41,NO2
5/5/2023,26,NO2
5/6/2023,6,NO2
5/7/2023,16,NO2
5/8/2023,22,NO2
5/9/2023,25,NO2
5/10/2023,16,NO2
5/11/2023,7,NO2
5/12/2023,8,NO2
5/13/2023,17,NO2
5/14/2023,17,NO2
5/15/2023,8,NO2
5/16/2023,11,NO2
5/17/2023,17,NO2
5/18/2023,10,NO2
5/19/2023,4,NO2
5/20/2023,5,NO2
5/21/2023,5,NO2
5/22/2023,8,NO2
5/23/2023,9,NO2
5/24/2023,22,NO2
5/25/2023,24,NO2
5/26/2023,7,NO2
5/27/2023,5,NO2
5/28/2023,18,NO2
5/29/2023,11,NO2
5/30/2023,21,NO2
5/31/2023,7,NO2
6/1/2023,25,NO2
6/2/2023,24,NO2
6/3/2023,32,NO2
6/4/2023,27,NO2
6/5/2023,19,NO2
6/6/2023,24,NO2
6/7/2023,25,NO2
6/8/2023,35,NO2
6/9/2023,39,NO2
6/10/2023,35,NO2
6/11/2023,8,NO2
6/12/2023,18,NO2
6/13/2023,25,NO2
6/14/2023,11,NO2
6/15/2023,14,NO2
6/16/2023,25,NO2
6/17/2023,28,NO2
6/18/2023,26,NO2
6/19/2023,6,NO2
6/20/2023,10,NO2
6/21/2023,5,NO2
6/22/2023,11,NO2
6/23/2023,20,NO2
6/24/2023,21,NO2
6/25/2023,21,NO2
6/26/2023,21,NO2
6/27/2023,26,NO2
6/28/2023,27,NO2
6/29/2023,29,NO2
6/30/2023,31,NO2
7/1/2023,14,NO2
7/2/2023,9,NO2
7/3/2023,18,NO2
7/4/2023,16,NO2
7/5/2023,20,NO2
7/6/2023,24,NO2
7/7/2023,15,NO2
7/8/2023,10,NO2
7/9/2023,8,NO2
7/10/2023,23,NO2
7/11/2023,27,NO2
7/12/2023,20,NO2
7/13/2023,16,NO2
7/14/2023,12,NO2
7/15/2023,11,NO2
7/16/2023,9,NO2
7/17/2023,26,NO2
7/18/2023,22,NO2
7/19/2023,23,NO2
7/20/2023,23,NO2
7/21/2023,13,NO2
7/22/2023,14,NO2
7/23/2023,11,NO2
7/24/2023,34,NO2
7/25/2023,28,NO2
7/26/2023,22,NO2
7/27/2023,19,NO2
7/28/2023,22,NO2
7/29/2023,13,NO2
7/30/2023,9,NO2
7/31/2023,14,NO2
2/1/2023,7,O3
2/2/2023,19,O3
2/3/2023,31,O3
2/4/2023,34,O3
2/5/2023,32,O3
2/6/2023,37,O3
2/7/2023,42,O3
2/8/2023,36,O3
2/9/2023,30,O3
2/10/2023,27,O3
2/11/2023,31,O3
2/12/2023,25,O3
2/13/2023,37,O3
2/14/2023,49,O3
2/15/2023,14,O3
2/16/2023,32,O3
2/17/2023,25,O3
2/18/2023,35,O3
2/19/2023,40,O3
2/20/2023,39,O3
2/21/2023,15,O3
2/22/2023,31,O3
2/23/2023,26,O3
2/24/2023,30,O3
2/25/2023,27,O3
2/26/2023,22,O3
2/27/2023,22,O3
2/28/2023,44,O3
3/1/2023,25,O3
3/2/2023,18,O3
3/3/2023,23,O3
3/4/2023,39,O3
3/5/2023,40,O3
3/6/2023,46,O3
3/7/2023,47,O3
3/8/2023,44,O3
3/9/2023,38,O3
3/10/2023,32,O3
3/11/2023,38,O3
3/12/2023,22,O3
3/13/2023,34,O3
3/14/2023,34,O3
3/15/2023,37,O3
3/16/2023,51,O3
3/17/2023,26,O3
3/18/2023,40,O3
3/19/2023,39,O3
3/20/2023,42,O3
3/21/2023,46,O3
3/22/2023,45,O3
3/23/2023,44,O3
3/24/2023,32,O3
3/25/2023,38,O3
3/26/2023,22,O3
3/27/2023,41,O3
3/28/2023,43,O3
3/29/2023,46,O3
3/30/2023,71,O3
3/31/2023,47,O3
4/1/2023,44,O3
4/2/2023,49,O3
4/3/2023,21,O3
4/4/2023,20,O3
4/5/2023,31,O3
4/6/2023,30,O3
4/7/2023,34,O3
4/8/2023,31,O3
4/9/2023,43,O3
4/10/2023,48,O3
4/11/2023,54,O3
4/12/2023,51,O3
4/13/2023,25,O3
4/14/2023,32,O3
4/15/2023,45,O3
4/16/2023,38,O3
4/17/2023,47,O3
4/18/2023,64,O3
4/19/2023,80,O3
4/20/2023,77,O3
4/21/2023,58,O3
4/22/2023,44,O3
4/23/2023,44,O3
4/24/2023,47,O3
4/25/2023,48,O3
4/26/2023,30,O3
4/27/2023,13,O3
4/28/2023,39,O3
4/29/2023,38,O3
4/30/2023,42,O3
5/1/2023,45,O3
5/2/2023,45,O3
5/3/2023,44,O3
5/4/2023,50,O3
5/5/2023,21,O3
5/6/2023,37,O3
5/7/2023,39,O3
5/8/2023,37,O3
5/9/2023,34,O3
5/10/2023,47,O3
5/11/2023,38,O3
5/12/2023,29,O3
5/13/2023,49,O3
5/14/2023,44,O3
5/15/2023,35,O3
5/16/2023,39,O3
5/17/2023,31,O3
5/18/2023,37,O3
5/19/2023,37,O3
5/20/2023,30,O3
5/21/2023,30,O3
5/22/2023,28,O3
5/23/2023,36,O3
5/24/2023,49,O3
5/25/2023,51,O3
5/26/2023,54,O3
5/27/2023,48,O3
5/28/2023,48,O3
5/29/2023,37,O3
5/30/2023,35,O3
5/31/2023,33,O3
6/1/2023,40,O3
6/2/2023,44,O3
6/3/2023,71,O3
6/4/2023,37,O3
6/5/2023,61,O3
6/6/2023,54,O3
6/7/2023,100,O3
6/8/2023,80,O3
6/9/2023,101,O3
6/10/2023,119,O3
6/11/2023,40,O3
6/12/2023,42,O3
6/13/2023,49,O3
6/14/2023,23,O3
6/15/2023,38,O3
6/16/2023,50,O3
6/17/2023,97,O3
6/18/2023,54,O3
6/19/2023,23,O3
6/20/2023,40,O3
6/21/2023,22,O3
6/22/2023,28,O3
6/23/2023,39,O3
6/24/2023,71,O3
6/25/2023,58,O3
6/26/2023,39,O3
6/27/2023,54,O3
6/28/2023,84,O3
6/29/2023,133,O3
6/30/2023,36,O3
7/1/2023,50,O3
7/2/2023,41,O3
7/3/2023,39,O3
7/4/2023,41,O3
7/5/2023,38,O3
7/6/2023,46,O3
7/7/2023,44,O3
7/8/2023,41,O3
7/9/2023,38,O3
7/10/2023,35,O3
7/11/2023,46,O3
7/12/2023,48,O3
7/13/2023,33,O3
7/14/2023,45,O3
7/15/2023,33,O3
7/16/2023,46,O3
7/17/2023,84,O3
7/18/2023,93,O3
7/19/2023,50,O3
7/20/2023,42,O3
7/21/2023,37,O3
7/22/2023,37,O3
7/23/2023,46,O3
7/24/2023,74,O3
7/25/2023,87,O3
7/26/2023,93,O3
7/27/2023,93,O3
7/28/2023,54,O3
7/29/2023,48,O3
7/30/2023,44,O3
7/31/2023,54,O3
2/1/2023,3,CO
2/2/2023,3,CO
2/3/2023,2,CO
2/4/2023,2,CO
2/5/2023,5,CO
2/6/2023,7,CO
2/7/2023,10,CO
2/8/2023,9,CO
2/9/2023,3,CO
2/10/2023,2,CO
2/11/2023,2,CO
2/12/2023,2,CO
2/13/2023,5,CO
2/14/2023,9,CO
2/15/2023,5,CO
2/16/2023,5,CO
2/17/2023,2,CO
2/18/2023,3,CO
2/19/2023,5,CO
2/20/2023,9,CO
2/21/2023,3,CO
2/22/2023,7,CO
2/23/2023,2,CO
2/24/2023,3,CO
2/25/2023,3,CO
2/26/2023,3,CO
2/27/2023,7,CO
2/28/2023,6,CO
3/1/2023,11,CO
3/2/2023,3,CO
3/3/2023,2,CO
3/4/2023,3,CO
3/5/2023,5,CO
3/6/2023,10,CO
3/7/2023,10,CO
3/8/2023,3,CO
3/9/2023,7,CO
3/10/2023,3,CO
3/11/2023,5,CO
3/12/2023,5,CO
3/13/2023,3,CO
3/14/2023,2,CO
3/15/2023,6,CO
3/16/2023,10,CO
3/17/2023,3,CO
3/18/2023,2,CO
3/19/2023,2,CO
3/20/2023,5,CO
3/21/2023,9,CO
3/22/2023,7,CO
3/23/2023,3,CO
3/24/2023,6,CO
3/25/2023,5,CO
3/26/2023,8,CO
3/27/2023,3,CO
3/28/2023,6,CO
3/29/2023,5,CO
3/30/2023,10,CO
3/31/2023,5,CO
4/1/2023,2,CO
4/2/2023,6,CO
4/3/2023,10,CO
4/4/2023,2,CO
4/5/2023,3,CO
4/6/2023,6,CO
4/7/2023,7,CO
4/8/2023,2,CO
4/9/2023,2,CO
4/10/2023,3,CO
4/11/2023,8,CO
4/12/2023,9,CO
4/13/2023,6,CO
4/14/2023,3,CO
4/15/2023,7,CO
4/16/2023,3,CO
4/17/2023,3,CO
4/18/2023,6,CO
4/19/2023,8,CO
4/20/2023,8,CO
4/21/2023,6,CO
4/22/2023,3,CO
4/23/2023,6,CO
4/24/2023,2,CO
4/25/2023,5,CO
4/26/2023,3,CO
4/27/2023,2,CO
4/28/2023,3,CO
4/29/2023,6,CO
4/30/2023,3,CO
5/1/2023,2,CO
5/2/2023,2,CO
5/3/2023,2,CO
5/4/2023,6,CO
5/5/2023,7,CO
5/6/2023,3,CO
5/7/2023,3,CO
5/8/2023,3,CO
5/9/2023,3,CO
5/10/2023,5,CO
5/11/2023,2,CO
5/12/2023,2,CO
5/13/2023,5,CO
5/14/2023,7,CO
5/15/2023,7,CO
5/16/2023,2,CO
5/17/2023,3,CO
5/18/2023,5,CO
5/19/2023,2,CO
5/20/2023,2,CO
5/21/2023,3,CO
5/22/2023,3,CO
5/23/2023,5,CO
5/24/2023,3,CO
5/25/2023,6,CO
5/26/2023,2,CO
5/27/2023,2,CO
5/28/2023,2,CO
5/29/2023,3,CO
5/30/2023,5,CO
5/31/2023,3,CO
6/1/2023,3,CO
6/2/2023,6,CO
6/3/2023,7,CO
6/4/2023,6,CO
6/5/2023,3,CO
6/6/2023,6,CO
6/7/2023,6,CO
6/8/2023,6,CO
6/9/2023,5,CO
6/10/2023,9,CO
6/11/2023,3,CO
6/12/2023,3,CO
6/13/2023,5,CO
6/14/2023,2,CO
6/15/2023,2,CO
6/16/2023,3,CO
6/17/2023,5,CO
6/18/2023,9,CO
6/19/2023,2,CO
6/20/2023,3,CO
6/21/2023,3,CO
6/22/2023,3,CO
6/23/2023,3,CO
6/24/2023,6,CO
6/25/2023,8,CO
6/26/2023,2,CO
6/27/2023,3,CO
6/28/2023,7,CO
6/29/2023,8,CO
6/30/2023,9,CO
7/1/2023,9,CO
7/2/2023,3,CO
7/3/2023,3,CO
7/4/2023,5,CO
7/5/2023,7,CO
7/6/2023,5,CO
7/7/2023,5,CO
7/8/2023,6,CO
7/9/2023,2,CO
7/10/2023,3,CO
7/11/2023,6,CO
7/12/2023,7,CO
7/13/2023,3,CO
7/14/2023,2,CO
7/15/2023,3,CO
7/16/2023,3,CO
7/17/2023,6,CO
7/18/2023,9,CO
7/19/2023,3,CO
7/20/2023,7,CO
7/21/2023,2,CO
7/22/2023,3,CO
7/23/2023,5,CO
7/24/2023,5,CO
7/25/2023,7,CO
7/26/2023,7,CO
7/27/2023,6,CO
7/28/2023,5,CO
7/29/2023,5,CO
7/30/2023,5,CO
7/31/2023,3,CO
2/1/2023,7,PM10
2/2/2023,6,PM10
2/3/2023,9,PM10
2/4/2023,10,PM10
2/5/2023,11,PM10
2/6/2023,13,PM10
2/7/2023,19,PM10
2/8/2023,26,PM10
2/9/2023,17,PM10
2/10/2023,8,PM10
2/11/2023,7,PM10
2/12/2023,4,PM10
2/13/2023,8,PM10
2/14/2023,13,PM10
2/15/2023,19,PM10
2/16/2023,21,PM10
2/17/2023,7,PM10
2/18/2023,7,PM10
2/19/2023,12,PM10
2/20/2023,18,PM10
2/21/2023,16,PM10
2/22/2023,18,PM10
2/23/2023,19,PM10
2/24/2023,19,PM10
